"key","value1","value2"
"名前","幸田","泰尚"
"ふりがな","こうだ","やすたか"
"肩書き","","世田谷区ギ会ギ員選挙 立候補者"
"プロフィール","世田谷エクストリーム・公認候補","デザインサテライト主宰、Web技術に関する教育に携わる。IT系のイベントからファッション、音楽に関するものまで、様々な企画を実現させるクリエーター。下北沢オープンソースCafeの運営も。"
"アピール1","議員のWeb発信を義務化します","議会の様子はなかなか市民に見えてきません。議員ひとりひとりが、ブログやFacebookなどを通じて、その様子を伝えることが求められています。"
"アピール2","世田谷区の行政システムのオープンソース化を進めます",""
"アピール3","世田谷区の公開情報についてAPI化を推し進めます",""
"アピール4","",""
"アピール5","",""
"経歴と実績1","1980年","大阪府◯◯市生まれ"
"経歴と実績2","19xx年","◯◯◯学校卒業"
"経歴と実績3","20xx年","株式会社◯◯◯勤務"
"経歴と実績4","20xx年","◯◯◯◯◯◯◯立ち上げ"
"経歴と実績5","",""
"経歴と実績6","",""
"経歴と実績7","",""
"経歴と実績8","",""
"経歴と実績9","",""
"経歴と実績10","",""
"メッセージ","","節目の35歳を迎え、議会への出馬を決意しました。仕事で専門にしてきたITによる効率化について、議会で提案し、ブログなどで発信していきたいです。※これはサンプルコンテンツです。"
